Datetime,mem
38:23.8,5000
38:53.8,5001
39:23.8,5000
39:53.8,5000
40:23.8,5000
40:53.8,5000
41:23.8,4999
41:53.8,4999
42:23.8,4999
42:53.8,5000
43:23.8,4999
43:53.8,4999
44:23.8,5000
44:53.8,4999
45:23.8,4997
45:53.8,4999
46:23.8,4997
46:53.8,4998
47:23.8,5000
47:53.8,5000
48:23.8,4999
48:53.8,5000
49:23.8,5001
49:53.8,5001
50:23.8,5000
50:53.8,5000
51:23.8,5000
51:53.8,5000
52:23.8,4999
52:53.8,4999
53:23.8,4999
53:53.8,4999
54:23.8,5000
54:53.8,4999
55:23.8,4999
55:53.8,4999
56:23.8,4999
56:53.8,4999
57:23.8,4999
57:53.8,4999
58:23.8,4999
58:53.8,4999
59:23.9,4998
59:53.8,4999
00:23.9,4999
00:53.8,4999
01:23.9,4999
01:53.8,4999
02:23.9,5000
02:53.8,4999
03:23.9,4999
03:53.8,4999
04:23.9,4999
04:53.8,4999
05:23.9,4998
05:53.8,4998
06:23.9,4999
06:53.8,4998
07:23.9,4998
07:53.8,4998
08:23.9,4998
08:53.8,4998
09:23.9,4998
09:53.8,4998
10:23.9,4998
10:53.9,4997
11:23.9,4999
11:53.9,4998
12:23.9,4999
12:53.9,4998
13:23.9,4999
13:53.9,4999
14:23.9,4999
14:53.9,4999
15:23.9,4998
15:53.9,4998
16:23.9,4999
16:53.9,4998
17:23.9,4998
17:53.9,4998
18:23.9,4998
18:53.9,4999
19:23.9,4997
19:53.9,4997
20:23.9,4997
20:53.9,4997
21:23.9,4996
21:53.9,4996
22:23.9,4996
22:53.9,4996
23:23.9,4996
23:53.9,4993
24:23.9,4996
24:53.9,4994
25:23.9,4996
25:53.9,4992
26:23.9,4991
26:53.9,4992
27:23.9,4996
27:53.9,4997
28:23.9,4997
28:53.9,4997
29:23.9,4997
29:53.9,4997
30:23.9,4997
30:53.9,4997
31:23.9,4999
31:53.9,4998
32:23.9,4998
32:53.9,4998
33:23.9,4998
33:53.9,4998
34:23.9,4998
34:53.9,4998
35:23.9,4997
35:53.9,4997
36:23.9,4997
36:53.9,4997
37:23.9,4997
37:53.9,4997
38:23.9,4998
38:53.9,4997
39:23.9,4998
39:53.9,4997
40:23.9,4997
40:53.9,4997
41:23.9,4998
41:53.9,4997
42:23.9,4998
42:53.9,4997
43:23.9,4997
43:53.9,4998
44:23.9,4998
44:53.9,4997
45:23.9,4996
45:53.9,4996
46:23.9,4996
46:53.9,4996
47:23.9,4996
47:53.9,4996
48:23.9,4996
48:53.9,4996
49:23.9,4996
49:53.9,4996
50:23.9,4996
50:53.9,4996
51:23.9,4997
51:53.9,4997
52:23.9,4996
52:53.9,4996
53:23.9,4996
53:53.9,4996
54:23.9,4997
54:53.9,4997
55:23.9,4996
55:53.9,4996
56:23.9,4997
56:53.9,4996
57:23.9,4996
57:53.9,4996
58:23.9,4994
58:53.9,4996
59:23.9,4995
59:53.9,4995
00:24.0,4995
00:53.9,4995
01:23.9,4993
01:53.9,4995
02:23.9,4992
02:53.9,4994
03:24.0,4990
03:53.9,4993
04:24.0,4995
04:53.9,4995
05:24.0,4995
05:53.9,4995
06:24.0,4995
06:53.9,4995
07:24.0,4995
07:53.9,4995
08:24.0,4995
08:53.9,4995
09:24.0,4995
09:53.9,4996
10:24.0,4996
10:53.9,4995
11:24.0,4995
11:53.9,4995
12:24.0,4994
12:54.0,4994
13:24.0,4995
13:54.0,4994
14:24.0,4994
14:54.0,4994
15:24.0,4994
15:54.0,4994
16:24.0,4994
16:54.0,4995
17:24.0,4994
17:54.0,4993
18:24.0,4994
18:54.0,4993
19:24.0,4994
19:54.0,4994
20:24.0,4993
20:54.0,4993
21:24.0,4995
21:54.0,4995
22:24.0,4995
22:54.0,4995
23:24.0,4995
23:54.0,4995
24:24.0,4995
24:54.0,4995
25:24.0,4995
25:54.0,4995
26:24.0,4995
26:54.0,4995
27:24.0,4995
27:54.0,4994
28:24.0,4994
28:54.0,4993
29:24.0,4994
29:54.0,4994
30:24.0,4994
30:54.0,4994
31:24.0,4994
31:54.0,4994
32:24.0,4993
32:54.0,4994
33:24.0,4994
33:54.0,4994
34:24.0,4994
34:54.0,4995
35:24.0,4994
35:54.0,4994
36:24.0,4994
36:54.0,4994
37:24.0,4995
37:54.0,4995
38:24.0,4993
38:54.0,4994
39:24.0,4993
39:54.0,4993
40:24.0,4993
40:54.0,4991
41:24.0,4993
41:54.0,4990
42:24.0,4993
42:54.0,4989
43:24.0,4993
43:54.0,4993
44:24.0,4993
44:54.0,4993
45:24.0,4993
45:54.0,4994
46:24.0,4994
46:54.0,4994
47:24.0,4994
47:54.0,4994
48:24.0,4994
48:54.0,4994
49:24.0,4994
49:54.0,4993
50:24.0,4994
50:54.0,4993
51:24.0,4994
51:54.0,4993
52:24.0,4993
52:54.0,4992
53:24.0,4992
53:54.0,4992
54:24.0,4992
54:54.0,4993
55:24.0,4993
55:54.0,4992
56:24.0,4993
56:54.0,4993
57:24.0,4992
57:54.1,4992
58:24.0,4992
58:54.1,4992
59:24.0,4993
59:54.0,4993
00:24.1,4993
00:54.0,4993
01:24.0,4992
01:54.0,4993
02:24.1,4993
02:54.0,4993
03:24.1,4992
03:54.0,4993
04:24.1,4993
04:54.0,4993
05:24.0,4992
05:54.1,4992
06:24.0,4991
06:54.1,4992
07:24.0,4991
07:54.1,4991
08:24.0,4991
08:54.1,4991
09:24.0,4991
09:54.1,4991
10:24.1,4991
10:54.1,4991
11:24.1,4992
11:54.1,4993
12:24.1,4992
12:54.1,4991
13:24.1,4992
13:54.1,4992
14:24.1,4992
14:54.1,4992
15:24.1,4992
15:54.1,4993
16:24.1,4992
16:54.1,4991
17:24.1,4992
17:54.1,4992
18:24.1,4989
18:54.1,4991
19:24.1,4989
19:54.1,4991
20:24.1,4987
20:54.1,4992
21:24.1,4992
21:54.1,4992
22:24.1,4992
22:54.1,4991
23:24.1,4992
23:54.1,4992
24:24.1,4992
24:54.1,4992
25:24.1,4991
25:54.1,4991
26:24.1,4991
26:54.1,4992
27:24.1,4991
27:54.1,4991
28:24.1,4993
28:54.1,4991
29:24.1,4992
29:54.1,4992
30:24.1,4992
30:54.1,4991
31:24.1,4991
31:54.1,4991
32:24.1,4991
32:54.1,4991
33:24.1,4991
33:54.1,4991
34:24.1,4990
34:54.1,4991
35:24.1,4990
35:54.1,4991
36:24.1,4991
36:54.1,4991
37:24.1,4990
37:54.1,4990
38:24.1,4990
38:54.1,4992
39:24.1,4991
39:54.1,4991
40:24.1,4992
40:54.1,4991
41:24.1,4991
41:54.1,4991
42:24.1,4991
42:54.1,4991
43:24.1,4991
43:54.1,4991
44:24.1,4991
44:54.1,4990
45:24.1,4990
45:54.1,4989
46:24.1,4990
46:54.1,4990
47:24.1,4990
47:54.1,4990
48:24.1,4990
48:54.1,4989
49:24.1,4990
49:54.1,4990
50:24.1,4990
50:54.1,4989
51:24.1,4991
51:54.1,4990
52:24.1,4990
52:54.1,4990
53:24.1,4990
53:54.1,4990
54:24.1,4990
54:54.1,4991
55:24.1,4990
55:54.1,4987
56:24.1,4990
56:54.1,4987
57:24.1,4989
57:54.1,4986
58:24.1,4989
58:54.2,4989
59:24.1,4989
59:54.2,4989
00:24.1,4989
00:54.2,4989
01:24.1,4989
01:54.2,4989
02:24.1,4989
02:54.2,4989
03:24.1,4989
03:54.2,4989
04:24.1,4989
04:54.2,4989
05:24.1,4989
05:54.1,4989
06:24.2,4990
06:54.2,4991
07:24.2,4990
07:54.2,4989
08:24.1,4989
08:54.2,4990
09:24.1,4990
09:54.2,4990
10:24.1,4990
10:54.2,4990
11:24.2,4990
11:54.1,4990
12:24.2,4990
12:54.1,4990
13:24.2,4990
13:54.2,4990
14:24.2,4989
14:54.2,4989
15:24.2,4989
15:54.2,4989
16:24.2,4989
16:54.2,4989
17:24.2,4989
17:54.2,4989
18:24.2,4989
18:54.2,4989
19:24.2,4989
19:54.2,4989
20:24.2,4989
20:54.2,4989
21:24.2,4989
21:54.2,4989
22:24.2,4989
22:54.2,4989
23:24.2,4989
23:54.2,4989
24:24.2,4989
24:54.2,4988
25:24.2,4987
25:54.2,4987
26:24.2,4987
26:54.2,4986
27:24.2,4986
27:54.2,4986
28:24.2,4987
28:54.2,4986
29:24.2,4986
29:54.2,4987
30:24.2,4987
30:54.2,4986
31:24.2,4987
31:54.2,4987
32:24.2,4987
32:54.2,4987
33:24.2,4984
33:54.2,4987
34:24.2,4984
34:54.2,4987
35:24.2,4985
35:54.2,4984
36:24.2,4988
36:54.2,4987
37:24.2,4987
37:54.2,4986
38:24.2,4986
38:54.2,4986
39:24.2,4986
39:54.2,4985
40:24.2,4986
40:54.2,4985
41:24.2,4986
41:54.2,4986
42:24.2,4986
42:54.2,4985
43:24.2,4986
43:54.2,4987
44:24.2,4986
44:54.2,4987
45:24.2,4986
45:54.2,4986
46:24.2,4986
46:54.2,4987
47:24.2,4987
47:54.2,4986
48:24.2,4986
48:54.2,4922
49:24.2,4926
49:54.2,4910
50:24.2,4909
50:54.2,4909
51:24.2,4909
51:54.2,4908
52:24.2,4908
52:54.2,4908
53:24.2,4908
53:54.2,4908
54:24.2,4908
54:54.2,4909
55:24.2,4908
55:54.2,4908
56:24.2,4908
